2024-08-20 11:47:03,865 - main_logger - INFO - Correlation threshold: 0.75, Euclidean distance threshold: 0.707107
2024-08-20 11:47:03,865 - main_logger - INFO - Report (0, 1, 0): Window 0, time series 0, 1, correlation coefficient: 0.888698, Euclidean distance: 0.471809
2024-08-20 11:47:03,865 - main_logger - INFO - Report (0, 4, 0): Window 0, time series 0, 4, correlation coefficient: 0.874748, Euclidean distance: 0.500504
2024-08-20 11:47:03,865 - main_logger - INFO - Report (1, 3, 0): Window 0, time series 1, 3, correlation coefficient: 0.859659, Euclidean distance: 0.529794
2024-08-20 11:47:03,865 - main_logger - INFO - Report (1, 4, 0): Window 0, time series 1, 4, correlation coefficient: 0.822386, Euclidean distance: 0.596011
2024-08-20 11:47:03,866 - main_logger - INFO - Report (1, 6, 0): Window 0, time series 1, 6, correlation coefficient: 0.829824, Euclidean distance: 0.583397
2024-08-20 11:47:03,866 - main_logger - INFO - Report (0, 2, 1): Window 1, time series 0, 2, correlation coefficient: 0.860152, Euclidean distance: 0.528863
2024-08-20 11:47:03,866 - main_logger - INFO - Report (0, 3, 1): Window 1, time series 0, 3, correlation coefficient: 0.824312, Euclidean distance: 0.59277
2024-08-20 11:47:03,866 - main_logger - INFO - Report (1, 4, 1): Window 1, time series 1, 4, correlation coefficient: 0.790383, Euclidean distance: 0.647482
2024-08-20 11:47:03,866 - main_logger - INFO - Report (1, 5, 1): Window 1, time series 1, 5, correlation coefficient: 0.869247, Euclidean distance: 0.511376
2024-08-20 11:47:03,867 - main_logger - INFO - Report (2, 7, 1): Window 1, time series 2, 7, correlation coefficient: 0.88223, Euclidean distance: 0.485326
2024-08-20 11:47:03,867 - main_logger - INFO - Report (4, 5, 1): Window 1, time series 4, 5, correlation coefficient: 0.778033, Euclidean distance: 0.666284
2024-08-20 11:47:03,867 - main_logger - INFO - Report (4, 6, 1): Window 1, time series 4, 6, correlation coefficient: 0.802896, Euclidean distance: 0.627859
2024-08-20 11:47:03,867 - main_logger - INFO - Report (4, 7, 1): Window 1, time series 4, 7, correlation coefficient: -0.890636, Euclidean distance: 1.944549
2024-08-20 11:47:03,867 - main_logger - INFO - Report (6, 7, 1): Window 1, time series 6, 7, correlation coefficient: -0.811396, Euclidean distance: 1.903363
2024-08-20 11:47:03,867 - main_logger - INFO - Report (7, 8, 1): Window 1, time series 7, 8, correlation coefficient: 0.806236, Euclidean distance: 0.622518
2024-08-20 11:47:03,867 - main_logger - INFO - Report (0, 2, 2): Window 2, time series 0, 2, correlation coefficient: 0.947058, Euclidean distance: 0.325397
2024-08-20 11:47:03,867 - main_logger - INFO - Report (0, 3, 2): Window 2, time series 0, 3, correlation coefficient: 0.959436, Euclidean distance: 0.284829
2024-08-20 11:47:03,867 - main_logger - INFO - Report (0, 5, 2): Window 2, time series 0, 5, correlation coefficient: 0.786132, Euclidean distance: 0.654016
2024-08-20 11:47:03,867 - main_logger - INFO - Report (0, 7, 2): Window 2, time series 0, 7, correlation coefficient: 0.962014, Euclidean distance: 0.275632
2024-08-20 11:47:03,867 - main_logger - INFO - Report (0, 8, 2): Window 2, time series 0, 8, correlation coefficient: 0.89859, Euclidean distance: 0.450355
2024-08-20 11:47:03,867 - main_logger - INFO - Report (1, 4, 2): Window 2, time series 1, 4, correlation coefficient: 0.810997, Euclidean distance: 0.614822
2024-08-20 11:47:03,868 - main_logger - INFO - Report (1, 5, 2): Window 2, time series 1, 5, correlation coefficient: 0.890141, Euclidean distance: 0.468742
2024-08-20 11:47:03,868 - main_logger - INFO - Report (1, 6, 2): Window 2, time series 1, 6, correlation coefficient: 0.933042, Euclidean distance: 0.365947
2024-08-20 11:47:03,868 - main_logger - INFO - Report (2, 3, 2): Window 2, time series 2, 3, correlation coefficient: 0.968125, Euclidean distance: 0.252486
2024-08-20 11:47:03,868 - main_logger - INFO - Report (2, 5, 2): Window 2, time series 2, 5, correlation coefficient: 0.859986, Euclidean distance: 0.529176
2024-08-20 11:47:03,868 - main_logger - INFO - Report (2, 7, 2): Window 2, time series 2, 7, correlation coefficient: 0.976045, Euclidean distance: 0.218885
2024-08-20 11:47:03,868 - main_logger - INFO - Report (2, 8, 2): Window 2, time series 2, 8, correlation coefficient: 0.895987, Euclidean distance: 0.456099
2024-08-20 11:47:03,868 - main_logger - INFO - Report (3, 5, 2): Window 2, time series 3, 5, correlation coefficient: 0.801112, Euclidean distance: 0.630695
2024-08-20 11:47:03,868 - main_logger - INFO - Report (3, 7, 2): Window 2, time series 3, 7, correlation coefficient: 0.973708, Euclidean distance: 0.229314
2024-08-20 11:47:03,868 - main_logger - INFO - Report (3, 8, 2): Window 2, time series 3, 8, correlation coefficient: 0.893482, Euclidean distance: 0.461557
2024-08-20 11:47:03,868 - main_logger - INFO - Report (4, 5, 2): Window 2, time series 4, 5, correlation coefficient: 0.83903, Euclidean distance: 0.567397
2024-08-20 11:47:03,868 - main_logger - INFO - Report (4, 6, 2): Window 2, time series 4, 6, correlation coefficient: 0.796188, Euclidean distance: 0.638455
